
"Tally by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x02","0x04","0x06","0x09","0x0B","0x0C","0x0E","0x10","0x11","0x12","0x15","0x20","0x24","0x28","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x5F","0x60","0x61","0x62","0x63","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x79","0x7A","0x7C","0x7E","0x82","0x83","0x87","0x93","0x96","0x9C","0x9F","0xA0","0xC0","0xC1","0xC3","0xC4","0xC5","0xFF"
"","","Opcode >","PUSH0","PUSHBYTES1","2","4","6","9","11","12","14","16","17","18","21","32","36","40","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","PUSH15","PUSH16","NOP","JMP","JMPIF","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","PICK","ROLL","SWAP","CAT","SIZE","INVERT","EQUAL","ADD","DIV","NUMEQUAL","LT","GT","ARRAYSIZE","PACK","PICKITEM","SETITEM","NEWARRAY","_STORAGE"
"D:\Neo\Projects\smart-contract-icoshare\IcoShareSC\IcoShareContract.cs","49","            Transaction tx = (Transaction)ExecutionEngine.ScriptContainer;","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"D:\Neo\Projects\smart-contract-icoshare\IcoShareSC\IcoShareContract.cs","50","            TransactionOutput[] reference = tx.GetReferences();","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","2","2","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"D:\Neo\Projects\smart-contract-icoshare\IcoShareSC\IcoShareContract.cs","52","            foreach (TransactionOutput output in reference)","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","3","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","8","8","0","0","8","0","3","0","0","0","0","0","0","0","0","1","0","1","0","6","3","0","0"
"D:\Neo\Projects\smart-contract-icoshare\IcoShareSC\IcoShareContract.cs","53","            {","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"D:\Neo\Projects\smart-contract-icoshare\IcoShareSC\IcoShareContract.cs","54","                if (output.AssetId.AsString() == NeoAssetId.AsString())","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","1","3","3","0","0","3","0","1","0","0","0","0","1","0","0","0","0","0","0","0","2","1","0","0"
"D:\Neo\Projects\smart-contract-icoshare\IcoShareSC\IcoShareContract.cs","55","                    return output.ScriptHash;","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","2","2","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"D:\Neo\Projects\smart-contract-icoshare\IcoShareSC\IcoShareContract.cs","58","        }","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","3","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0"
"D:\Neo\Projects\smart-contract-icoshare\IcoShareSC\IcoShareContract.cs","252","            if (sender.Length == 0) return false;","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","3","3","0","0","3","0","1","0","0","0","0","0","0","0","1","0","0","1","0","2","1","0","0"
"D:\Neo\Projects\smart-contract-icoshare\IcoShareSC\IcoShareContract.cs","255","            BigInteger contributeValue = GetContributeValue() / NeoDecimals;","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"D:\Neo\Projects\smart-contract-icoshare\IcoShareSC\IcoShareContract.cs","62","        }","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","2","0","3","4","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0"
"D:\Neo\Projects\smart-contract-icoshare\IcoShareSC\IcoShareContract.cs","64","        {","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
